"2650";"UTEP";"UTEP";"Miners";"#14214F";"#EE8031";"0";NULL;NULL;"UTEP.gif";"Conference USA";;"utep";"ACTIVE"
"361";"ARMY";"Army";"Black Knights";"#D4B77C";"#000000";"0";NULL;NULL;"Army.gif";"IA Independents";;"army";"ACTIVE"
"2438";"NAVY";"Navy";"Midshipmen";"#00092D";"#FFD911";"0";NULL;NULL;"Navy.gif";"IA Independents";;"navy";"ACTIVE"
"99";"ND";"Notre Dame";"Fighting Irish";"#000066";"#D6C895";"0";NULL;NULL;"NotreDame.gif";"IA Independents";;"nd";"ACTIVE"
"2018";"AKOH";"Akron";"Zips";"#003366";"#CCCC99";"0";NULL;NULL;"Akron.gif";"Mid-American";;"akoh";"ACTIVE"
"2062";"BALL";"Ball State";"Cardinals";"#9A0000";"#AAAAAA";"0";NULL;NULL;"BallState.gif";"Mid-American";;"ball";"ACTIVE"
"201";"BGU";"Bowling Green";"Falcons";"#FF6600";"#663300";"0";NULL;NULL;"BowlingGreen.gif";"Mid-American";;"bgu";"ACTIVE"
"2096";"BUFF";"Buffalo";"Bulls";"#00426B";"#A5D6FF";"0";NULL;NULL;"Buffalo.gif";"Mid-American";;"buff";"ACTIVE"
"2129";"CMU";"Central Michigan";"Chippewas";"#660000";"#FFCC00";"0";NULL;NULL;"CentralMichigan.gif";"Mid-American";;"cmu";"ACTIVE"
"2211";"EMU";"Eastern Michigan";"Eagles";"#004A18";"#000000";"0";NULL;NULL;"EasternMichigan.gif";"Mid-American";;"emu";"ACTIVE"
"258";"KENT";"Kent State";"Golden Flashes";"#081C59";"#EFB001";"0";NULL;NULL;"KentState.gif";"Mid-American";;"kent";"ACTIVE"
"205";"MIOH";"Miami (OH)";"RedHawks";"#b90000";"#01542C";"0";NULL;NULL;"MiamiOH.gif";"Mid-American";;"mioh";"ACTIVE"
