"2203";"1";"0";"V06";"1st & GOAL at SCST06: Nesbitt, J. rush for 2 yards to the SCST4 (ERBY, David).";"2";"95";"49";"3,14,49";"H";"R";"ACTIVE";
"2204";"2";"0";"V04";"2nd & GOAL at SCST04: Nesbitt, J. rush for 3 yards to the SCST1 (HARRIS, Mason;WILKERSON,Juliu).";"2";"95";"50";"3,15,50";"H";"R";"ACTIVE";
"2205";"3";"0";"V01";"3rd & GOAL at SCST01: Nesbitt, J. rush for 1 yard to the SCST0, TOUCHDOWN, clock 13:45.";"2";"95";"51";"3,16,51";"H";"R";"ACTIVE";
"2206";"1";"0";"V03";"1st & GOAL at SCST03: TEAM kick attempt failed (blocked) (blocked by MOODY, Semaj).";"2";"95";"52";"3,17,52";"H";"X";"ACTIVE";
"2207";"1";"0";"H30";"1st & GOAL at GT30: Blair, S. kickoff 63 yards to the SCST7, ELMORE,Lennel return 14 yards to the SCST21 (Burnett, J.).";"2";"95";"53";"3,18,53";"H";"K";"ACTIVE";
"2208";"1";"10";"V21";"1st & 10 at SCST21: SOUTH CAROLINA STATE drive start at 13:38.";"2";"95";"54";"4,1,54";"V";;"ACTIVE";
"2209";"1";"10";"V21";"1st & 10 at SCST21: JORDON,Asheton rush for 9 yards to the SCST30 (Butler, M.).";"2";"95";"55";"4,2,55";"V";"R";"ACTIVE";
"2210";"2";"1";"V30";"2nd & 1 at SCST30: JORDON,Asheton rush for 9 yards to the SCST39, 1ST DOWN SCST, out-of-bounds (Butler, M.).";"2";"95";"56";"4,3,56";"V";"R";"ACTIVE";
"2211";"1";"10";"V39";"1st & 10 at SCST39: LONG, Malcolm pass incomplete to ELMORE,Lennel.";"2";"95";"57";"4,4,57";"V";"P";"ACTIVE";
"2212";"2";"10";"V39";"2nd & 10 at SCST39: JORDON,Asheton rush for 8 yards to the SCST47 (Egbuniwe, A.;Taylor, C.).";"2";"95";"58";"4,5,58";"V";"R";"ACTIVE";
"2213";"3";"2";"V47";"3rd & 2 at SCST47: JORDON,Asheton rush for 6 yards to the GT47, 1ST DOWN SCST (Butler, M.).";"2";"95";"59";"4,6,59";"V";"R";"ACTIVE";
